episode,steps,total_reward,final_reward,is_success,is_failure,failure_reason,terminated,truncated,reset_x,reset_y,reset_z,reset_vx,reset_vy,reset_vz,reset_distance_to_target,reset_speed,final_x,final_y,final_z,final_vx,final_vy,final_vz,final_distance_to_target,final_speed,min_distance_to_target,max_stable_steps
1,50,387.3378535983779,301.53192046214826,True,False,,True,False,0.0027537487912923098,0.0023937933146953583,1.980720043182373,-1.6914740399442962e-06,-1.6308204067172483e-06,0.13972526788711548,0.019622184336185455,0.13972526788711548,0.01505746878683567,0.09252464026212692,1.9259709119796753,0.0017296839505434036,0.02176838554441929,-0.03612857311964035,0.11944808065891266,0.0422152616083622,0.0045565711334347725,50
2,50,380.983686002779,301.42352528410265,True,False,,True,False,-0.018554633483290672,-0.014437353238463402,1.9425528049468994,-2.275794031447731e-06,-1.231342761087717e-08,0.1359855979681015,0.06207166612148285,0.1359855979681015,-0.014414943754673004,0.07396148145198822,1.8469802141189575,-0.0025968796107918024,0.020786723122000694,-0.0019537298940122128,0.170567125082016,0.021039217710494995,0.03528789430856705,50
3,50,387.1207864548138,301.69254937104415,True,False,,True,False,-0.01843821443617344,-0.015072460286319256,2.002244234085083,1.9410113054618705e-06,1.8315646457267576e-06,0.16732332110404968,0.02392035536468029,0.16732332110404968,-0.00870549213141203,0.07231239229440689,2.0332634449005127,-0.0023892915342003107,0.021001167595386505,-0.0009238389320671558,0.08007074892520905,0.021156825125217438,0.02392035536468029,50
4,50,390.63966659675935,301.7053012096556,True,False,,True,False,-0.018477730453014374,-0.01503408420830965,1.956373929977417,2.3774109649821185e-06,2.8026772724842886e-06,0.16732023656368256,0.049705978482961655,0.16732023656368256,-0.0151414405554533,0.0722811296582222,1.9910058975219727,-0.004830450750887394,0.02039416879415512,-0.010084688663482666,0.07439569383859634,0.023258468136191368,0.019561246037483215,50
5,50,390.6255638709613,301.7057926252397,True,False,,True,False,-0.018478909507393837,-0.015035099349915981,1.9573341608047485,2.35876200349594e-06,2.7731452973966952e-06,0.15823780000209808,0.04886612296104431,0.15823780000209808,-0.01507928129285574,0.07225606590509415,1.9919887781143188,-0.004842960275709629,0.020407110452651978,-0.010112405754625797,0.07424623519182205,0.023284438997507095,0.020182818174362183,50
6,50,390.53236153159816,301.7073106558528,True,False,,True,False,-0.01920207403600216,-0.015552033670246601,1.9592761993408203,2.3860070541559253e-06,2.8086324164178222e-06,0.16803792119026184,0.04763416200876236,0.16803792119026184,-0.01573939062654972,0.07171498984098434,1.9937543869018555,-0.0048431591130793095,0.02040708437561989,-0.01015468779951334,0.07368700951337814,0.023302853107452393,0.021771371364593506,50
7,50,390.63229322352566,301.7057432669768,True,False,,True,False,-0.018479308113455772,-0.015035444870591164,1.9565014839172363,2.35976744988875e-06,2.7743328701035352e-06,0.15823763608932495,0.04959506541490555,0.15823763608932495,-0.01514001190662384,0.0721735879778862,1.9911046028137207,-0.004853169899433851,0.02040381170809269,-0.010093321092426777,0.07427903264760971,0.02327539399266243,0.01961527206003666,50
8,50,390.61532230466105,301.70559119548415,True,False,,True,False,-0.01847694255411625,-0.015033403411507607,1.9571746587753296,2.385960669926135e-06,2.8213391942699673e-06,0.15823784470558167,0.04900418967008591,0.15823784470558167,-0.01508853118866682,0.07226794958114624,1.991851806640625,-0.004840304143726826,0.020409077405929565,-0.010099190287292004,0.07427458465099335,0.02327987737953663,0.020070888102054596,50
9,50,390.60455756175793,301.7052978509222,True,False,,True,False,-0.01847655139863491,-0.015033065341413021,1.9580163955688477,2.3850559500715462e-06,2.817964514179039e-06,0.16803790628910065,0.04827006533741951,0.16803790628910065,-0.01502576470375061,0.07249202579259872,1.992704153060913,-0.004825293086469173,0.020407913252711296,-0.010113928467035294,0.07439150661230087,0.023282136768102646,0.020654359832406044,50
10,50,390.54550707499726,301.71139299891655,True,False,,True,False,-0.019198205322027206,-0.015548687428236008,1.9592164754867554,2.4267390017485013e-06,2.8870365440525347e-06,0.1673203706741333,0.04768258333206177,0.1673203706741333,-0.015707146376371384,0.07188676297664642,1.9933834075927734,-0.0048189302906394005,0.020398851484060287,-0.00034945685183629394,0.07387963682413101,0.020963238552212715,0.02156064286828041,50
