episode,step,time_sec,raw_action_x,raw_action_y,raw_action_z,action_x,action_y,action_z,x,y,z,vx,vy,vz,distance_to_target,speed,reward,cumulative_reward,stable_steps,is_success,is_failure,failure_reason,terminated,truncated
1,1,0.1,0.013355139642953873,0.03290716931223869,-0.055027008056640625,0.006677569821476936,0.016453584656119347,-0.027513504028320312,-0.019138896837830544,-0.015544622205197811,1.9883822202682495,5.842493555974215e-05,0.00014362568617798388,0.10570614784955978,0.02725629322230816,0.10570625960826874,1.6782734025269748,1.6782734025269748,1,False,False,,False,False
1,2,0.2,0.011910444125533104,0.03474245220422745,-0.0545833595097065,0.005955222062766552,0.017371226102113724,-0.02729167975485325,-0.019123153761029243,-0.015505338087677956,1.9979629516601562,0.00035191045026294887,0.0008912885095924139,0.08550170063972473,0.02470344305038452,0.08550707250833511,1.7339266126044095,3.4122000151313845,2,False,False,,False,False
1,3,0.30000000000000004,0.010275982320308685,0.035399533808231354,-0.05571362003684044,0.005137991160154343,0.017699766904115677,-0.02785681001842022,-0.01906532607972622,-0.015355831012129784,2.004880428314209,0.0009062335011549294,0.002391090150922537,0.05274128168821335,0.024962106719613075,0.05280323326587677,1.7954486616887153,5.207648676820099,3,False,False,,False,False
1,4,0.4,0.009168533608317375,0.03666054084897041,-0.055253319442272186,0.004584266804158688,0.018330270424485207,-0.027626659721136093,-0.018939057365059853,-0.015014192089438438,2.0097434520721436,0.0016863009659573436,0.004680254962295294,0.044400330632925034,0.026058563962578773,0.044678159058094025,1.8075944227166474,7.015243099536747,4,False,False,,False,False
1,5,0.5,0.008944770321249962,0.037002891302108765,-0.05519421026110649,0.004472385160624981,0.018501445651054382,-0.027597105130553246,-0.018730230629444122,-0.014418479986488819,2.0129971504211426,0.0024936082772910595,0.007308922242373228,0.020797522738575935,0.02697480283677578,0.022185025736689568,1.8502393581671641,8.86548245770391,5,False,False,,False,False
1,6,0.6000000000000001,0.008107815869152546,0.03790966421365738,-0.05473373085260391,0.004053907934576273,0.01895483210682869,-0.027366865426301956,-0.01844334416091442,-0.013551929034292698,2.0150020122528076,0.0032291540410369635,0.010036787018179893,0.01010542456060648,0.02736552804708481,0.014604250900447369,1.8645655477419496,10.73004800544586,6,False,False,,False,False
1,7,0.7000000000000001,0.0077459318563342094,0.03832579404115677,-0.054497089236974716,0.0038729659281671047,0.019162897020578384,-0.027248544618487358,-0.018087144941091537,-0.012407705187797546,2.0160768032073975,0.0037905413191765547,0.012580345384776592,0.011469277553260326,0.02719484455883503,0.017440687865018845,1.8601091739838012,12.590157179429662,7,False,False,,False,False
1,8,0.8,0.007778929080814123,0.038310758769512177,-0.0544448047876358,0.0038894645404070616,0.019155379384756088,-0.0272224023938179,-0.017687072977423668,-0.011033276095986366,2.0163981914520264,0.0040923538617789745,0.014541001059114933,-0.004738645628094673,0.026522941887378693,0.015831703320145607,1.8659679032498389,14.4561250826795,8,False,False,,False,False
1,9,0.9,0.007172910030931234,0.03896084055304527,-0.054002776741981506,0.003586455015465617,0.019480420276522636,-0.027001388370990753,-0.01726784184575081,-0.009485818445682526,2.0161545276641846,0.004170923959463835,0.015975335612893105,4.037538019474596e-05,0.02547798864543438,0.016510892659425735,1.8679493103409186,16.324074393020418,9,False,False,,False,False
1,10,1.0,0.007331782951951027,0.038831669837236404,-0.053986579179763794,0.0036658914759755135,0.019415834918618202,-0.026993289589881897,-0.016850650310516357,-0.00782544445246458,2.0154576301574707,0.004070434719324112,0.016803409904241562,-0.013575832359492779,0.024168580770492554,0.021982407197356224,1.8613812175317435,18.18545561055216,10,False,False,,False,False
1,11,1.1,0.006784807424992323,0.039409320801496506,-0.0535508394241333,0.0033924037124961615,0.019704660400748253,-0.02677541971206665,-0.016453711315989494,-0.006120764650404453,2.0144355297088623,0.0038680657744407654,0.017211269587278366,-0.016498873010277748,0.022728240117430687,0.024153728038072586,1.8613747576251627,20.046830368177325,11,False,False,,False,False
1,12,1.2000000000000002,0.006646997760981321,0.03958193585276604,-0.053351350128650665,0.0033234988804906607,0.01979096792638302,-0.026675675064325333,-0.016075624153017998,-0.004373268689960241,2.0131471157073975,0.0036273756995797157,0.01735588349401951,-0.008992656134068966,0.02122257649898529,0.019880956038832664,1.8746494961087592,21.921479864286084,12,False,False,,False,False
1,13,1.3,0.006854033563286066,0.03937932103872299,-0.05334242433309555,0.003427016781643033,0.019689660519361496,-0.026671212166547775,-0.015720462426543236,-0.0026180772110819817,2.011646270751953,0.003421691944822669,0.01739386096596718,-0.02053901180624962,0.01973886787891388,0.02713126130402088,1.8646167544589844,23.78609661874507,13,False,False,,False,False
1,14,1.4000000000000001,0.006377273239195347,0.039883241057395935,-0.05293715000152588,0.0031886366195976734,0.019941620528697968,-0.02646857500076294,-0.015383338555693626,-0.0008586792391724885,2.010000467300415,0.0032730852253735065,0.017455024644732475,-0.012078862637281418,0.018368281424045563,0.021477660164237022,1.8798446656670422,25.665941284412114,14,False,False,,False,False
1,15,1.5,0.006637593265622854,0.039635077118873596,-0.0529557541012764,0.003318796632811427,0.019817538559436798,-0.0264778770506382,-0.01505710557103157,0.0009113522828556597,2.0082266330718994,0.003201403422281146,0.01760535128414631,-0.022900909185409546,0.01718209683895111,0.029062846675515175,1.868174912937684,27.534116197349796,15,False,False,,False,False
1,16,1.6,0.00616614380851388,0.04011572152376175,-0.052543140947818756,0.00308307190425694,0.020057860761880875,-0.026271570473909378,-0.014737933874130249,0.002684851409867406,2.006387233734131,0.0031912822742015123,0.017863987013697624,-0.0236518457531929,0.016285326331853867,0.02981134131550789,1.8690225148922763,29.40313871224207,16,False,False,,False,False
1,17,1.7000000000000002,0.006087136920541525,0.040208786725997925,-0.05235845595598221,0.0030435684602707624,0.020104393362998962,-0.026179227977991104,-0.014414307661354542,0.004507394041866064,2.0044682025909424,0.003219874110072851,0.018221085891127586,-0.014425083994865417,0.015749720856547356,0.023461854085326195,1.8831147310469531,31.286253443289024,17,False,False,,False,False
1,18,1.8,0.0063409809954464436,0.03994074463844299,-0.05235597491264343,0.0031704904977232218,0.019970372319221497,-0.026177987456321716,-0.01408709492534399,0.006368048954755068,2.0024890899658203,0.0032576958183199167,0.018606439232826233,-0.02466003969311714,0.01565866731107235,0.031063318252563477,1.8677599724964238,33.15401341578545,18,False,False,,False,False
1,19,1.9000000000000001,0.005899475421756506,0.04039460048079491,-0.05195046216249466,0.002949737710878253,0.020197300240397453,-0.02597523108124733,-0.01375629659742117,0.008268195204436779,2.0004830360412598,0.0032881766092032194,0.018994800746440887,-0.015158639289438725,0.016057150438427925,0.024523435160517693,1.8791079614311457,35.033121377216595,19,False,False,,False,False
1,20,2.0,0.006188536528497934,0.04010841250419617,-0.05196564644575119,0.003094268264248967,0.020054206252098083,-0.025982823222875595,-0.01342364214360714,0.010204269550740719,1.9984408617019653,0.0032946793362498283,0.01931583508849144,-0.025185873731970787,0.016933759674429893,0.031910572201013565,1.861342343391152,36.894463720607746,20,False,False,,False,False
1,21,2.1,0.005738400388509035,0.040563225746154785,-0.05154874175786972,0.0028692001942545176,0.020281612873077393,-0.02577437087893486,-0.01308841910213232,0.012188903987407684,1.9963648319244385,0.0032749371603131294,0.01956888474524021,-0.01551986113190651,0.01825076900422573,0.025189928710460663,1.8703522940399124,38.76481601464766,21,False,False,,False,False
1,22,2.2,0.006031484808772802,0.04027487337589264,-0.0515628345310688,0.003015742404386401,0.02013743668794632,-0.0257814172655344,-0.01276305504143238,0.014155082404613495,1.9943177700042725,0.0032318499870598316,0.019732141867280006,-0.025421442463994026,0.01988843083381653,0.03234272822737694,1.8509325001679826,40.61574851481564,22,False,False,,False,False
1,23,2.3000000000000003,0.005584901664406061,0.04072782024741173,-0.05114879459142685,0.0027924508322030306,0.020363910123705864,-0.025574397295713425,-0.012439743615686893,0.016153739765286446,1.992248296737671,0.003171409945935011,0.019829805940389633,-0.01565607450902462,0.02181236818432808,0.025463536381721497,1.8585926604573615,42.474341175273004,23,False,False,,False,False
1,24,2.4000000000000004,0.005881283897906542,0.04043756052851677,-0.05116669461131096,0.002940641948953271,0.020218780264258385,-0.02558334730565548,-0.01212290022522211,0.01815936341881752,1.9901658296585083,0.0031058662571012974,0.019877497106790543,-0.025483807548880577,0.023946568369865417,0.03246822580695152,1.8380880991520825,44.312429274425085,24,False,False,,False,False
1,25,2.5,0.0054354541935026646,0.04089033603668213,-0.05075258016586304,0.0027177270967513323,0.020445168018341064,-0.02537629008293152,-0.01181273628026247,0.020168421790003777,1.9880930185317993,0.0030402285046875477,0.019902504980564117,-0.015660252422094345,0.026231320574879646,0.02550678700208664,1.8449654110707343,46.15739468549582,25,False,False,,False,False
1,26,2.6,0.005733299534767866,0.04059869423508644,-0.05077213793992996,0.002866649767383933,0.02029934711754322,-0.02538606896996498,-0.011508756317198277,0.022179722785949707,1.9860124588012695,0.0029836208559572697,0.019924990832805634,-0.02544397860765457,0.028636392205953598,0.032454632222652435,1.8238518447906245,47.98124653028644,26,False,False,,False,False
1,27,2.7,0.005288292188197374,0.04105016589164734,-0.05035938322544098,0.002644146094098687,0.02052508294582367,-0.02517969161272049,-0.011210042983293533,0.024193832650780678,1.9839454889297485,0.002935731317847967,0.01995944045484066,-0.015585609711706638,0.031124811619520187,0.025493312627077103,1.8301843036548235,49.811430833941266,27,False,False,,False,False
1,28,2.8000000000000003,0.005587075371295214,0.040756966918706894,-0.05037960037589073,0.002793537685647607,0.020378483459353447,-0.025189800187945366,-0.010915596038103104,0.026212306693196297,1.981873869895935,0.0028978977352380753,0.02001108042895794,-0.01554271299391985,0.033686671406030655,0.02550327591598034,1.8225230864365585,51.63395392037783,28,False,False,,False,False
1,29,2.9000000000000004,0.005499775055795908,0.04084102436900139,-0.050172701478004456,0.002749887527897954,0.020420512184500694,-0.025086350739002228,-0.01062453631311655,0.028236862272024155,1.979817271232605,0.002868429059162736,0.020078174769878387,-0.01548578217625618,0.036297984421253204,0.025518041104078293,1.8146861893765163,53.44864010975434,29,False,False,,False,False
1,30,3.0,0.005441174376755953,0.04091387242078781,-0.04998696967959404,0.0027205871883779764,0.020456936210393906,-0.02499348483979702,-0.010338838212192059,0.030248373746871948,1.977782130241394,0.002847309224307537,0.02015012502670288,-0.015421352349221706,0.0389292873442173,0.025533366948366165,1.80678385066567,55.25542396042001,30,False,False,,False,False
